DATE;TRIES;SECONDS
2022-09-21 19:09:52;693;2752
2022-09-21 19:09:52;2;8
2022-09-21 19:09:52;27;62
2022-09-21 19:09:54;941;4041
2022-09-21 19:09:54;20;56
2022-09-21 19:09:54;131;381
2022-09-21 19:09:54;18;59
2022-09-21 19:09:55;3;13
2022-09-21 19:09:55;19;60
2022-09-21 19:09:56;728;2786
2022-09-21 19:09:57;4;18
2022-09-21 19:09:58;3;13
2022-09-21 19:09:59;4;7
2022-09-21 19:10:01;111;278
2022-09-21 19:10:03;356;1239
2022-09-21 19:10:03;2;6
2022-09-21 19:10:09;2;6
2022-09-21 19:10:10;6;26
2022-09-21 19:14:07;2;7
2022-09-21 19:14:12;3;12
2022-09-21 19:14:15;2;6
2022-09-21 19:14:16;2;7
2022-09-21 19:14:26;2;8
2022-09-21 19:14:28;3;12
2022-09-21 19:21:21;3;11
2022-09-21 19:22:33;3;11
2022-09-21 19:26:20;2;8
2022-09-21 19:26:35;2;9
2022-09-21 19:31:50;4;19
2022-09-21 19:34:35;3;13
2022-09-21 19:36:49;2;7
2022-09-21 19:37:02;3;13
2022-09-21 19:42:35;6;28
2022-09-21 19:42:45;2;10
2022-09-21 19:47:10;10;49
2022-09-21 19:47:30;4;20
2022-09-21 19:49:27;3;12
2022-09-21 19:49:35;2;8
2022-09-21 19:50:03;6;26
2022-09-21 19:50:15;3;12
2022-09-21 19:52:45;2;10
2022-09-21 19:52:55;2;10
2022-09-21 19:54:41;15;75
2022-09-21 19:54:48;23;115
2022-09-21 20:08:38;2;9
2022-09-22 01:34:29;2;6
2022-09-22 01:48:13;2;6
2022-09-22 07:05:22;6;26
2022-09-22 07:06:54;6;26
2022-09-22 07:15:31;2;10
2022-09-22 07:19:38;2;6
2022-09-22 09:20:35;3;11
2022-09-22 07:21:11;2;6
2022-09-22 07:21:28;3;12
2022-09-22 07:21:31;4;16
2022-09-22 07:21:38;2;7
2022-09-22 07:22:32;3;12
2022-09-22 07:22:33;3;12
2022-09-22 07:22:48;4;16
2022-09-22 09:23:21;3;12
2022-09-22 07:24:28;2;10
2022-09-22 07:57:48;2;9
2022-09-22 08:20:40;2;10
2022-09-22 08:21:34;4;19
2022-09-22 08:31:23;3;12
2022-09-22 08:36:24;2;6
2022-09-22 08:36:36;3;12
2022-09-22 08:42:35;2;5
2022-09-22 08:42:41;2;6
2022-09-22 08:43:09;6;26
2022-09-22 08:46:27;2;9
2022-09-22 08:51:25;3;14
2022-09-22 08:51:54;6;29
2022-09-22 08:53:21;2;8
2022-09-22 08:53:38;3;13
2022-09-22 08:54:00;5;22
2022-09-22 08:54:06;4;17
2022-09-22 08:55:43;4;17
2022-09-22 08:55:56;3;12
2022-09-22 08:56:39;2;6
2022-09-22 08:56:45;2;6
2022-09-22 09:01:21;2;10
2022-09-22 09:06:26;3;11
2022-09-22 09:11:22;3;11
2022-09-22 09:11:28;2;6
2022-09-22 09:13:58;4;19
2022-09-22 09:14:13;3;15
2022-09-22 09:16:36;5;24
2022-09-22 09:16:50;3;14
2022-09-22 09:19:54;2;8
2022-09-22 09:20:10;3;15
2022-09-22 09:21:19;2;8
2022-09-22 09:22:45;2;8
2022-09-22 09:26:44;3;14
2022-09-22 09:30:24;47;234
2022-09-22 09:31:25;3;14
2022-09-22 09:36:31;2;7
2022-09-22 09:36:38;2;7
2022-09-22 09:36:42;4;17
2022-09-22 09:37:03;5;22
2022-09-22 09:39:44;2;7
2022-09-22 09:42:07;2;8
2022-09-22 09:42:28;4;17
2022-09-22 09:42:35;2;7
2022-09-22 09:42:58;2;8
2022-09-22 09:50:55;2;8
2022-09-22 09:51:03;2;8
2022-09-22 09:51:12;2;8
2022-09-22 09:51:19;2;8
2022-09-22 09:51:26;2;7
2022-09-22 09:52:52;2;6
2022-09-22 09:52:58;2;6
2022-09-22 09:56:34;2;6
2022-09-22 09:56:40;2;6
2022-09-22 09:56:47;2;6
2022-09-22 09:56:54;2;7
2022-09-22 09:58:26;3;10
2022-09-22 10:00:20;4;16
2022-09-22 10:01:28;4;16
2022-09-22 10:04:04;3;11
2022-09-22 10:06:28;2;6
2022-09-22 10:06:34;2;6
2022-09-22 10:06:42;2;6
2022-09-22 10:06:55;3;11
2022-09-22 10:07:03;2;7
2022-09-22 10:07:17;2;6
2022-09-22 10:07:24;5;21
2022-09-22 10:07:28;3;11
2022-09-22 10:07:40;2;6
2022-09-22 10:07:41;4;16
2022-09-22 10:07:47;4;17
2022-09-22 10:08:03;3;11
2022-09-22 10:08:06;6;26
2022-09-22 10:08:09;4;16
2022-09-22 10:08:14;2;6
2022-09-22 10:08:15;2;6
2022-09-22 10:08:19;4;16
2022-09-22 10:08:23;2;6
2022-09-22 10:08:29;2;6
2022-09-22 10:08:33;5;21
